"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT4G34710",3.5294957892627e-12,0.286376993794549,0.44,0.234,4.34586816531917e-08,"0","AT4G34710"
"AT3G55430",4.65000097752888e-12,0.35541273749825,0.382,0.198,5.72554620363131e-08,"0","AT3G55430"
"AT5G10695",9.37837672989561e-12,0.407139303965197,0.672,0.448,1.15475952675205e-07,"0","AT5G10695"
"AT3G51660",1.32067617209771e-10,0.320131327630467,0.253,0.107,1.62614857070391e-06,"0","AT3G51660"
"AT5G58070",4.1304156425042e-10,0.39074054268222,0.59,0.395,5.08578078061542e-06,"0","AT5G58070"
"AT4G25670",4.85116260968287e-10,0.269238592216483,0.41,0.226,5.97323652130252e-06,"0","AT4G25670"
"AT2G22500",4.60791924252513e-09,0.258579373406846,0.253,0.115,5.67373096332119e-05,"0","AT2G22500"
"AT3G43720",6.33689814989722e-09,0.26794989624791,0.331,0.178,7.80262269196845e-05,"0","AT3G43720"
"AT1G80380",9.14556060736901e-09,0.282768610959455,0.276,0.138,0.000112609287758535,"0","AT1G80380"
"AT5G04410",1.01875891734286e-08,0.259118329284189,0.416,0.244,0.000125439785492426,"0","AT5G04410"
"AT3G12580",1.06858269130502e-08,0.357701591503365,0.956,0.914,0.000131574586780388,"0","AT3G12580"
"AT4G02890",2.14139230351052e-08,0.367246772307443,0.775,0.65,0.00026366963433125,"0","AT4G02890"
"AT2G29420",7.08807957174775e-08,0.287106724107341,0.532,0.366,0.0008727552376693,"0","AT2G29420"
"AT4G21990",7.75112299060206e-08,0.371750116329638,0.631,0.49,0.000954395773832832,"0","AT4G21990"
"AT4G09150",1.05767707720883e-07,0.268389139679797,0.669,0.495,0.00130231778516723,"0","AT4G09150"
"AT1G78380",1.36595341936438e-07,0.297761105377863,0.642,0.476,0.00168189844526336,"0","AT1G78380"
"AT3G07390",1.44108253788334e-07,0.344189876455946,0.433,0.289,0.00177440492889576,"0","AT3G07390"
"AT3G09350",1.97409211899941e-07,0.305031014147862,0.881,0.744,0.00243069962612397,"0","AT3G09350"
"AT5G54165",2.52959640110758e-07,0.436567703543857,0.737,0.567,0.00311469204868376,"0","AT5G54165"
"AT4G31780",1.15897371444682e-06,0.264575169467254,0.314,0.19,0.0142704433459837,"0","AT4G31780"
"AT5G52640",1.27814948942776e-06,0.321650916081156,0.84,0.741,0.015737854663324,"0","AT5G52640"
"AT1G53540",2.00687190214634e-05,0.276572859942128,0.915,0.851,0.247106137311279,"0","AT1G53540"
"AT4G32020",0.00010255613678399,0.262734282867889,0.433,0.332,1,"0","AT4G32020"
"AT1G17420",0.000346542610121847,0.267286740621024,0.266,0.179,1,"0","AT1G17420"
"AT1G59870",0.000460590106912113,0.251218400917496,0.724,0.601,1,"0","AT1G59870"
"AT3G10020",0.000978252456430937,0.259659404963999,0.819,0.777,1,"0","AT3G10020"
"AT4G31800",1.26417382258828e-30,0.563500804632105,0.51,0.166,1.55657722775295e-26,"1","AT4G31800"
"AT1G598701",1.35264534626009e-20,0.634535096431439,0.833,0.578,1.66551221485005e-16,"1","AT1G59870"
"AT4G39200",1.53330901749182e-17,0.434123340409742,0.751,0.466,1.88796339323768e-13,"1","AT4G39200"
"AT2G32210",9.47544858553376e-17,0.466966497547607,0.861,0.601,1.16671198433677e-12,"1","AT2G32210"
"AT5G541651",2.68874394331499e-16,0.540375538308971,0.792,0.561,3.31065041740375e-12,"1","AT5G54165"
"AT3G56020",8.16129708117828e-16,0.361196377240772,0.629,0.342,1.00490050960548e-11,"1","AT3G56020"
"AT2G41010",4.16560333573281e-13,0.250878454115126,0.261,0.089,5.1291073872878e-09,"1","AT2G41010"
"AT5G54940",1.00285818318214e-12,0.39478459970646,0.792,0.606,1.23481928095217e-08,"1","AT5G54940"
"AT4G27090",1.35766924669306e-12,0.338540126427378,0.649,0.396,1.67169814345316e-08,"1","AT4G27090"
"AT2G41100",4.05111166041086e-12,0.507641072301127,0.486,0.267,4.98813378746389e-08,"1","AT2G41100"
"AT4G30210",6.52592849993914e-12,0.372613245880262,0.682,0.449,8.03537576197507e-08,"1","AT4G30210"
"AT3G25780",8.32408182059179e-12,0.421136755288085,0.376,0.18,1.02494419456947e-07,"1","AT3G25780"
"AT5G59820",3.82035287031633e-11,0.368700265411694,0.678,0.438,4.70400048922049e-07,"1","AT5G59820"
"AT2G38470",7.8936032420106e-11,0.357725584556709,0.371,0.185,9.71939367188765e-07,"1","AT2G38470"
"AT4G34670",2.94064726032988e-10,0.269213386318843,0.465,0.256,3.62081897164418e-06,"1","AT4G34670"
"AT1G23710",2.95489832658608e-10,0.331624348498696,0.608,0.399,3.63836630952544e-06,"1","AT1G23710"
"AT1G56045",3.36612031373892e-10,0.257024306079694,0.547,0.317,4.14470394230673e-06,"1","AT1G56045"
"AT5G56980",4.5996949627974e-10,0.290002904816353,0.355,0.176,5.66360440769244e-06,"1","AT5G56980"
"AT5G10360",5.63247419412762e-10,0.28929006084668,0.441,0.249,6.93526547522934e-06,"1","AT5G10360"
"AT2G36160",1.02050890641239e-09,0.254482111517241,0.38,0.198,1.25655261646558e-05,"1","AT2G36160"
"AT5G20290",1.0375582344008e-09,0.31115261528086,0.637,0.427,1.27754545401771e-05,"1","AT5G20290"
"AT2G294501",1.52021338865917e-09,0.390451761177213,0.873,0.742,1.87183874545603e-05,"1","AT2G29450"
"AT1G55450",8.55473841982179e-09,0.260218987033816,0.306,0.147,0.000105334494163266,"1","AT1G55450"
"AT5G15200",9.61252947253174e-09,0.260128674658383,0.559,0.359,0.000118359075395283,"1","AT5G15200"
"AT5G59730",1.62313238824511e-08,0.277504595430528,0.531,0.34,0.000199856290964621,"1","AT5G59730"
"AT1G56580",1.82835983015788e-08,0.452353852775098,0.641,0.489,0.00022512594588734,"1","AT1G56580"
"AT3G16640",2.87254285888418e-08,0.295276822975212,0.792,0.646,0.000353696202214409,"1","AT3G16640"
"AT3G257601",3.15119213968839e-08,0.30216325193721,0.363,0.196,0.000388006288159832,"1","AT3G25760"
"AT1G14200",4.38911668323149e-08,0.340195930284435,0.714,0.527,0.000540431937206293,"1","AT1G14200"
"AT3G46230",4.56679647588208e-08,0.580747502178905,0.71,0.608,0.00056230965007536,"1","AT3G46230"
"AT5G60390",5.9538080273227e-08,0.265378784494454,0.543,0.352,0.000733092382404244,"1","AT5G60390"
"AT1G76600",7.45035968523353e-08,0.329265204223593,0.824,0.71,0.000917362788042804,"1","AT1G76600"
"AT3G56340",8.73129999567167e-08,0.283857597417964,0.449,0.281,0.00107508496846705,"1","AT3G56340"
"AT2G41430",1.09845409061316e-07,0.316307979014915,0.873,0.756,0.00135252652177198,"1","AT2G41430"
"AT4G36500",1.18871406531747e-07,0.310980038582673,0.486,0.317,0.0014636636286254,"1","AT4G36500"
"AT5G05410",1.18897101808571e-07,0.26419833896743,0.682,0.49,0.00146398001456894,"1","AT5G05410"
"AT5G64310",3.01300529411703e-07,0.253841439191488,0.739,0.534,0.0037099134186463,"1","AT5G64310"
"AT3G07090",3.99193225066707e-07,0.284229316146218,0.673,0.5,0.00491526618024636,"1","AT3G07090"
"AT5G38420",2.22087297848637e-06,0.265519467505551,0.808,0.667,0.0273456089841027,"1","AT5G38420"
"AT1G54050",7.77180758007878e-06,0.311141840577706,0.788,0.666,0.0956942667335101,"1","AT1G54050"
"AT2G26140",1.81137681553244e-05,0.25873259387071,0.645,0.501,0.223034827296509,"1","AT2G26140"
"AT5G26000",4.54349511160267e-101,2.29534756043727,0.785,0.086,5.59440553091637e-97,"2","AT5G26000"
"AT4G18280",5.2290528460086e-92,1.59069785170093,0.846,0.128,6.43853276929039e-88,"2","AT4G18280"
"AT2G47180",1.07301774588593e-51,1.2919705361524,0.812,0.272,1.32120675050935e-47,"2","AT2G47180"
"AT4G25200",1.93686083524534e-41,1.04084887670167,0.631,0.164,2.38485674643759e-37,"2","AT4G25200"
"AT5G07870",6.59110908150597e-39,0.565075784760853,0.45,0.075,8.1156326120583e-35,"2","AT5G07870"
"AT4G37990",6.87192627703509e-35,0.813252957230216,0.456,0.088,8.46140282491331e-31,"2","AT4G37990"
"AT2G36460",9.20327080610632e-35,1.11177592920057,0.779,0.362,1.13319873435587e-30,"2","AT2G36460"
"AT5G15780",9.13759620965601e-34,0.541416704450395,0.315,0.039,1.12511222129494e-29,"2","AT5G15780"
"AT5G48570",1.14243559050423e-33,1.21765575071979,0.899,0.492,1.40668094258786e-29,"2","AT5G48570"
"AT2G477301",2.29233444012163e-32,0.769366527817104,1,0.961,2.82255139612177e-28,"2","AT2G47730"
"AT2G28570",1.98130696618471e-31,0.357211440608932,0.268,0.028,2.43958326746323e-27,"2","AT2G28570"
"AT4G27670",2.95798111058566e-27,0.76572458714763,0.416,0.096,3.64216214146412e-23,"2","AT4G27670"
"AT4G11600",2.47054676310634e-26,0.810103994810812,0.799,0.408,3.04198422941284e-22,"2","AT4G11600"
"AT2G43520",5.5710888477441e-25,0.570434347125812,0.443,0.119,6.85968169822731e-21,"2","AT2G43520"
"AT5G37670",5.86877367593758e-24,0.403268685677657,0.282,0.048,7.22622102718194e-20,"2","AT5G37670"
"AT1G70710",1.68303694006261e-22,0.51515765921899,0.497,0.151,2.0723233842991e-18,"2","AT1G70710"
"AT3G04120",2.48370355541432e-22,0.647668825625918,0.785,0.437,3.05818418778165e-18,"2","AT3G04120"
"AT1G10170",4.90424196693064e-22,0.642050216761074,0.611,0.252,6.0385931338817e-18,"2","AT1G10170"
"AT4G22240",1.07770804674702e-21,0.488903229583761,0.302,0.063,1.32698191795961e-17,"2","AT4G22240"
"AT2G15830",3.52962791907007e-21,0.332808274438202,0.268,0.049,4.34603085675098e-17,"2","AT2G15830"
"AT3G28740",4.91083327991715e-21,0.631506269905538,0.315,0.069,6.04670901756198e-17,"2","AT3G28740"
"AT5G48180",9.01692259563648e-21,0.576727286220379,0.55,0.199,1.11025367920072e-16,"2","AT5G48180"
"AT3G09390",9.96296277906033e-21,0.685561495462703,0.711,0.35,1.2267396069857e-16,"2","AT3G09390"
"AT3G22840",1.58845024206464e-20,0.620260103332205,0.597,0.237,1.9558587830542e-16,"2","AT3G22840"
"AT2G32120",2.51635670269396e-18,0.733341413296827,0.758,0.463,3.09839000802708e-14,"2","AT2G32120"
"AT4G10250",4.2933690492216e-18,0.950218061477395,0.409,0.14,5.28642531030656e-14,"2","AT4G10250"
"AT1G20450",2.97006150811028e-17,0.589766761550857,0.503,0.208,3.65703673493618e-13,"2","AT1G20450"
"AT5G03240",4.30319632738182e-17,0.64464198803686,0.705,0.404,5.29852563790523e-13,"2","AT5G03240"
"AT1G07590",4.55586977822413e-17,0.723261134366959,0.785,0.469,5.60964245792738e-13,"2","AT1G07590"
"AT2G24500",3.09913889521899e-16,0.352784028704366,0.268,0.065,3.81596972168314e-12,"2","AT2G24500"
"AT5G526401",4.23524944213044e-16,0.612685000346057,0.966,0.737,5.21486263809521e-12,"2","AT5G52640"
"AT1G30070",5.77605991515698e-16,0.363385473788273,0.409,0.141,7.11206257353279e-12,"2","AT1G30070"
"AT1G30400",8.26249550114379e-16,0.408607063797968,0.349,0.109,1.01736107105584e-11,"2","AT1G30400"
"AT2G25140",7.61716335161434e-15,0.460578380410861,0.463,0.189,9.37901323484274e-11,"2","AT2G25140"
"AT5G59720",1.64959983543281e-14,0.890962874864394,0.409,0.163,2.03115227736842e-10,"2","AT5G59720"
"AT1G59860",1.9700138230744e-14,0.587905201898443,0.557,0.282,2.42567802035151e-10,"2","AT1G59860"
"AT4G37980",2.98951183604174e-14,0.408607063797968,0.416,0.158,3.6809859237182e-10,"2","AT4G37980"
"AT3G08690",3.01200480772463e-14,0.466555605261527,0.376,0.137,3.70868151975134e-10,"2","AT3G08690"
"AT2G23120",3.85558332623022e-14,0.655672638943926,0.799,0.552,4.74737974958727e-10,"2","AT2G23120"
"AT4G18050",4.18461077690359e-14,0.330940739695909,0.376,0.133,5.15251124960139e-10,"2","AT4G18050"
"AT2G28000",4.68404802951187e-14,0.54313927924884,0.477,0.219,5.76746833873797e-10,"2","AT2G28000"
"AT3G13470",7.0265182106296e-14,0.42159028755222,0.389,0.15,8.65175187274823e-10,"2","AT3G13470"
"AT2G19310",1.40656157151555e-13,0.554400402767382,0.57,0.3,1.7318992630071e-09,"2","AT2G19310"
"AT5G51440",1.53476445490253e-13,0.472060344478989,0.537,0.267,1.88975547332149e-09,"2","AT5G51440"
"AT1G07350",2.10075007671112e-13,0.355373168709355,0.349,0.123,2.5866535694544e-09,"2","AT1G07350"
"AT3G093501",9.15541346132338e-13,0.439612992299588,0.98,0.749,1.12730605949275e-08,"2","AT3G09350"
"AT2G47890",1.89436445318511e-12,0.303983939681997,0.309,0.103,2.33253095120683e-08,"2","AT2G47890"
"AT3G44110",2.97807288959304e-12,0.536116582652119,0.738,0.496,3.66690114895591e-08,"2","AT3G44110"
"AT5G580701",3.02396406926746e-12,0.507643605561684,0.691,0.407,3.72340695848902e-08,"2","AT5G58070"
"AT2G21660",3.55272226359899e-12,0.324214876507595,0.309,0.103,4.37446692316943e-08,"2","AT2G21660"
"AT1G07400",1.5569976886333e-11,0.453401356596766,0.96,0.713,1.91713125401418e-07,"2","AT1G07400"
"AT4G19880",2.21454640345698e-11,0.362840515406436,0.376,0.153,2.72677098657658e-07,"2","AT4G19880"
"AT4G21320",2.35428108388254e-11,0.329470601959091,0.396,0.166,2.89882629858458e-07,"2","AT4G21320"
"AT1G62180",2.67087514511228e-11,0.395562956669352,0.47,0.223,3.28864856617675e-07,"2","AT1G62180"
"AT2G42600",2.69052793831843e-11,0.263193126890216,0.329,0.122,3.31284705045149e-07,"2","AT2G42600"
"AT1G20440",2.73313543424214e-11,0.758111403037755,0.336,0.137,3.36530966018235e-07,"2","AT1G20440"
"AT3G08590",2.86861501371143e-11,0.302207770143539,0.309,0.112,3.53212566638288e-07,"2","AT3G08590"
"AT3G125801",5.61623395011495e-11,0.427733872530473,0.993,0.914,6.91526886277653e-07,"2","AT3G12580"
"AT2G37180",2.0743382151438e-10,0.285271679419827,0.282,0.099,2.55413264430656e-06,"2","AT2G37180"
"AT3G63310",2.71977355197486e-10,0.318041589206877,0.322,0.128,3.34885717454664e-06,"2","AT3G63310"
"AT5G39050",2.85737521816786e-10,0.271196494208104,0.275,0.096,3.51828610613008e-06,"2","AT5G39050"
"AT3G24500",3.76360657848952e-10,0.611884367463132,0.906,0.75,4.63412878009415e-06,"2","AT3G24500"
"AT5G03340",4.73418642086752e-10,0.256325887267845,0.302,0.115,5.82920374001418e-06,"2","AT5G03340"
"AT4G25260",1.01260468867012e-09,0.359148666616982,0.517,0.277,1.24682015315951e-05,"2","AT4G25260"
"AT1G52827",1.70747837197541e-09,0.265453006636437,0.262,0.096,2.10241811941332e-05,"2","AT1G52827"
"AT5G12020",1.72286923435439e-09,0.52141262297127,0.812,0.557,2.12136888826056e-05,"2","AT5G12020"
"AT1G783801",2.05304036167087e-09,0.393312158645234,0.745,0.484,2.52790859732535e-05,"2","AT1G78380"
"AT1G36160",5.35287254538929e-09,0.310210737806665,0.423,0.211,6.59099196513783e-05,"2","AT1G36160"
"AT5G11680",8.57721990171806e-09,0.269073322315134,0.289,0.118,0.000105611308649854,"2","AT5G11680"
"AT5G56030",1.15672812497312e-08,0.451041973267149,0.899,0.716,0.00014242793402794,"2","AT5G56030"
"AT5G16970",1.33099935121375e-08,0.265179406210643,0.268,0.103,0.000163885950114949,"2","AT5G16970"
"AT4G12400",1.83706436784678e-08,0.431235175673899,0.711,0.493,0.000226197735612974,"2","AT4G12400"
"AT5G106951",1.87389489395361e-08,0.365292160815628,0.691,0.477,0.000230732678292508,"2","AT5G10695"
"AT2G39800",5.0486861772786e-08,0.256112274472806,0.282,0.118,0.000621644729008314,"2","AT2G39800"
"AT1G79550",5.46833084370146e-08,0.329782984696479,0.416,0.228,0.00067331557678496,"2","AT1G79550"
"AT4G22670",5.68177706696382e-08,0.263853008903792,0.268,0.113,0.000699597210255255,"2","AT4G22670"
"AT5G49910",6.3600595996011e-08,0.255173232077944,0.295,0.13,0.000783114138498883,"2","AT5G49910"
"AT3G462301",8.34371258270794e-08,0.516821795485739,0.805,0.603,0.00102736133030883,"2","AT3G46230"
"AT5G12030",1.1785322673913e-07,0.357660584957574,0.946,0.781,0.00145112678083891,"2","AT5G12030"
"AT5G46110",1.38769729220089e-07,0.260670881319437,0.356,0.176,0.00170867167588695,"2","AT5G46110"
"AT3G12050",3.70883575748205e-07,0.30971530681248,0.477,0.286,0.00456668946818765,"2","AT3G12050"
"AT4G36990",4.21208624947869e-07,0.251500692867184,0.275,0.122,0.00518634179898311,"2","AT4G36990"
"AT4G03430",4.36770465334918e-07,0.25978444651459,0.329,0.162,0.00537795473966884,"2","AT4G03430"
"AT1G65980",9.34030431268039e-07,0.306487283958251,0.47,0.291,0.0115007167002034,"2","AT1G65980"
"AT5G618201",9.97914539687155e-07,0.270306922254245,0.389,0.208,0.0122873217271679,"2","AT5G61820"
"AT4G37370",1.42240248863841e-06,0.47855471017619,0.517,0.322,0.0175140418426048,"2","AT4G37370"
"AT2G17840",1.83643162893611e-06,0.370636677213031,0.409,0.242,0.0226119826470903,"2","AT2G17840"
"AT1G25275",1.96457429714219e-06,0.316761727984055,0.792,0.599,0.0241898033207117,"2","AT1G25275"
"AT1G766801",2.99771141470327e-06,0.271322143985846,0.933,0.79,0.0369108206492414,"2","AT1G76680"
"AT3G05880",6.76126920597715e-06,0.290349981945549,0.302,0.158,0.0832515077331966,"2","AT3G05880"
"AT1G16030",7.33485542355918e-06,0.299134364460033,0.933,0.819,0.0903140748302842,"2","AT1G16030"
"AT1G47128",9.82297457206638e-06,0.250273109758006,0.362,0.209,0.120950285905853,"2","AT1G47128"
"AT5G15450",1.64657157943999e-05,0.281430010010799,0.564,0.395,0.202742358576446,"2","AT5G15450"
"AT1G07890",1.7114121239714e-05,0.326144903605995,0.792,0.667,0.210726174824598,"2","AT1G07890"
"AT2G23320",1.79121731182901e-05,0.293901061777209,0.53,0.365,0.220552587605506,"2","AT2G23320"
"AT1G74310",1.84816767576031e-05,0.327084484695643,0.919,0.791,0.227564885916367,"2","AT1G74310"
"AT1G79930",1.9661535619355e-05,0.285656206510738,0.43,0.278,0.242092488081118,"2","AT1G79930"
"AT4G36360",2.56080504220334e-05,0.266943640950536,0.329,0.191,0.315311924846497,"2","AT4G36360"
"AT3G25230",3.12573708679986e-05,0.319727485515281,0.624,0.469,0.384872007497667,"2","AT3G25230"
"AT5G02020",5.45414798264759e-05,0.27520848658373,0.51,0.356,0.671569241103398,"2","AT5G02020"
"AT4G091501",0.000101598742912589,0.267070969403986,0.658,0.521,1,"2","AT4G09150"
"AT5G09590",0.000161188984779441,0.251248216749611,0.698,0.553,1,"2","AT5G09590"
"AT3G44190",0.000299267119522957,0.285395627617067,0.369,0.242,1,"2","AT3G44190"
"AT1G707101",1.67977061052948e-88,1.23538079594198,0.782,0.111,2.06830155274495e-84,"3","AT1G70710"
"AT5G14920",5.66825969777603e-52,0.586741030265746,0.361,0.026,6.97932816587162e-48,"3","AT5G14920"
"AT2G39690",4.87656603914068e-40,0.471996012593103,0.388,0.051,6.00451576399392e-36,"3","AT2G39690"
"AT2G371801",1.15146823622465e-38,0.592492907791073,0.449,0.076,1.41780283926342e-34,"3","AT2G37180"
"AT3G228401",7.81749345944487e-33,0.985773241942326,0.667,0.228,9.62567969661447e-29,"3","AT3G22840"
"AT5G66440",5.13289804860261e-31,0.433677024709472,0.367,0.061,6.32013736724439e-27,"3","AT5G66440"
"AT2G471801",1.75324405873892e-30,0.779672879558665,0.748,0.282,2.15876940952523e-26,"3","AT2G47180"
"AT1G13930",1.31350162227379e-25,0.789650392028413,0.694,0.322,1.61731454750572e-21,"3","AT1G13930"
"AT4G363601",9.44430066383758e-25,0.522312594194525,0.524,0.163,1.16287674073832e-20,"3","AT4G36360"
"AT2G398001",9.73382406740772e-23,0.497710840366311,0.395,0.102,1.19852575741991e-18,"3","AT2G39800"
"AT3G49260",1.22747015418231e-22,0.539237452035771,0.531,0.182,1.51138400084468e-18,"3","AT3G49260"
"AT1G074001",5.14909813857057e-22,0.826362023665024,0.959,0.714,6.34008453802194e-18,"3","AT1G07400"
"AT3G03680",7.00162378153085e-22,0.427691681102832,0.381,0.096,8.62109936219893e-18,"3","AT3G03680"
"AT5G55120",6.19226147500013e-21,0.452315249742813,0.442,0.133,7.62453155416766e-17,"3","AT5G55120"
"AT5G560301",7.11944567162185e-21,0.787804857647254,0.918,0.714,8.76617345546798e-17,"3","AT5G56030"
"AT1G11850",4.92964089978712e-20,0.557758289834621,0.517,0.185,6.06986683990789e-16,"3","AT1G11850"
"AT5G51750",6.80434371320892e-19,0.34781972587184,0.306,0.072,8.37818841407414e-15,"3","AT5G51750"
"AT3G54820",9.45910759316385e-19,0.369181183131388,0.354,0.095,1.16469991794626e-14,"3","AT3G54820"
"AT1G33590",6.55885467454722e-18,0.808756277234216,0.796,0.523,8.07591776076999e-14,"3","AT1G33590"
"AT1G78040",1.1444877802277e-17,0.506793083427946,0.605,0.274,1.40920780379437e-13,"3","AT1G78040"
"AT5G17920",8.41374415590837e-17,0.579601769452382,0.626,0.328,1.035984317917e-12,"3","AT5G17920"
"AT3G12920",5.42974222694109e-16,0.320271582650442,0.327,0.092,6.68564160403257e-12,"3","AT3G12920"
"AT3G041201",6.44580051206745e-16,0.523462420597187,0.748,0.443,7.93671417050865e-12,"3","AT3G04120"
"AT2G193101",2.45277160568417e-15,0.514720906693068,0.605,0.296,3.02009767807892e-11,"3","AT2G19310"
"AT1G19870",2.8297573384846e-15,0.287519836072121,0.299,0.082,3.48428021087609e-11,"3","AT1G19870"
"AT3G245001",8.48157771549683e-15,0.591330588091649,0.939,0.746,1.04433666410912e-10,"3","AT3G24500"
"AT5G485701",9.75385460919305e-15,0.658125808478015,0.803,0.507,1.20099211802994e-10,"3","AT5G48570"
"AT2G364601",2.23265692431434e-14,0.479965892895798,0.687,0.375,2.74907047090825e-10,"3","AT2G36460"
"AT5G57655",2.37512608811295e-14,0.357540219507827,0.442,0.172,2.92449275229348e-10,"3","AT5G57655"
"AT2G46240",2.60833704100537e-14,0.640289229769361,0.864,0.651,3.21164539858992e-10,"3","AT2G46240"
"AT2G27860",8.65730387259313e-14,0.307820661509537,0.415,0.157,1.06597382583239e-09,"3","AT2G27860"
"AT1G53500",1.97158521089574e-13,0.296256362424126,0.313,0.099,2.42761287017593e-09,"3","AT1G53500"
"AT1G13440",3.17326077484331e-13,0.529111998998689,0.755,0.507,3.90723599206457e-09,"3","AT1G13440"
"AT4G13940",3.85735690764435e-13,0.53443292554989,0.639,0.36,4.74956356038249e-09,"3","AT4G13940"
"AT4G252001",5.10005109852727e-13,0.51306928082191,0.449,0.191,6.27969291761663e-09,"3","AT4G25200"
"AT3G01310",7.38944359853981e-13,0.29282970539648,0.306,0.099,9.09862190288206e-09,"3","AT3G01310"
"AT1G361601",3.95400617326146e-12,0.418409596741343,0.456,0.206,4.86856780113684e-08,"3","AT1G36160"
"AT3G24140",5.46794425856485e-12,0.263845182598155,0.313,0.104,6.7326797655709e-08,"3","AT3G24140"
"AT5G07350",7.83805642049914e-12,0.282693303661533,0.361,0.136,9.6509988705606e-08,"3","AT5G07350"
"AT3G55440",8.67721069999776e-12,0.425039544851003,0.49,0.245,1.06842495349072e-07,"3","AT3G55440"
"AT3G28860",9.68624246692726e-12,0.274287929796407,0.265,0.083,1.19266703495275e-07,"3","AT3G28860"
"AT4G25640",1.28450314189417e-11,0.283645311486125,0.313,0.111,1.58160871861429e-07,"3","AT4G25640"
"AT1G160301",5.75860761754307e-11,0.513190774635036,0.959,0.815,7.09057355948078e-07,"3","AT1G16030"
"AT1G08200",1.06645031932375e-10,0.444728550680322,0.497,0.27,1.31312027818333e-06,"3","AT1G08200"
"AT4G13340",1.26987134670023e-10,0.284254597094374,0.306,0.113,1.56359258919199e-06,"3","AT4G13340"
"AT2G26150",1.47781450766504e-10,0.404895459685612,0.68,0.412,1.81963300328796e-06,"3","AT2G26150"
"AT2G321201",1.60776157467081e-10,0.455599291728094,0.714,0.47,1.97963682689217e-06,"3","AT2G32120"
"AT5G12250",1.68174547590974e-10,0.265383822994811,0.299,0.11,2.07073320448766e-06,"3","AT5G12250"
"AT1G598601",2.81344218568812e-10,0.47430895463694,0.524,0.287,3.46419136323778e-06,"3","AT1G59860"
"AT3G09820",3.19994921875785e-10,0.267179336656425,0.327,0.128,3.94009747305654e-06,"3","AT3G09820"
"AT1G252751",7.85002018179819e-10,0.782502099424671,0.762,0.604,9.66572984984811e-06,"3","AT1G25275"
"AT5G48485",2.14957280412259e-09,0.29598319292448,0.279,0.106,2.64676899371615e-05,"3","AT5G48485"
"AT4G29900",3.74586137546059e-09,0.283906162111183,0.34,0.149,4.61227911160462e-05,"3","AT4G29900"
"AT2G27385",6.37745928235138e-09,0.376415135383555,0.619,0.399,7.85256561435925e-05,"3","AT2G27385"
"AT4G198801",8.07506618610641e-09,0.377816716209755,0.347,0.158,9.94282899495282e-05,"3","AT4G19880"
"AT5G120201",9.21966759227111e-09,0.515164199073538,0.769,0.563,0.000113521767063634,"3","AT5G12020"
"AT1G540501",1.02399668426349e-08,0.433119408354589,0.864,0.666,0.000126084711733363,"3","AT1G54050"
"AT5G120301",1.71382581153053e-08,0.512056630807131,0.912,0.786,0.000211023372173755,"3","AT5G12030"
"AT5G02490",1.98621477503589e-08,0.336292693045589,0.361,0.169,0.000244562625250169,"3","AT5G02490"
"AT5G154501",4.11101143120531e-08,0.365257148301802,0.612,0.388,0.00050618883752431,"3","AT5G15450"
"AT1G67360",5.14680978581598e-08,0.374981350174862,0.401,0.21,0.000633726688927522,"3","AT1G67360"
"AT5G16830",1.04421666738554e-07,0.274495033676618,0.313,0.144,0.00128574398255181,"3","AT5G16830"
"AT3G06650",1.05902189173333e-07,0.271056700922972,0.374,0.19,0.00130397365529125,"3","AT3G06650"
"AT2G280001",8.41432323574097e-07,0.260921175910089,0.415,0.229,0.0103605562001679,"3","AT2G28000"
"AT3G093502",2.16778102057798e-06,0.348550168761938,0.884,0.763,0.0266918877063766,"3","AT3G09350"
"AT3G13310",4.53896420262946e-06,0.311635068076358,0.626,0.449,0.0558882662269765,"3","AT3G13310"
"AT3G08530",5.39194846880317e-06,0.253473756204193,0.578,0.382,0.0663910614963735,"3","AT3G08530"
"AT5G02500",7.3112147209498e-06,0.348279755601505,0.701,0.548,0.0900229868590549,"3","AT5G02500"
"AT5G514401",9.16752980262377e-06,0.286442765124974,0.449,0.28,0.112879794459706,"3","AT5G51440"
"AT4G34450",1.01409863122163e-05,0.265977158409667,0.415,0.256,0.124865964462319,"3","AT4G34450"
"AT1G565801",1.16544067752179e-05,0.288622971248959,0.68,0.498,0.143500710623258,"3","AT1G56580"
"AT1G204501",1.19730568578235e-05,0.281089468263873,0.388,0.225,0.147424249090381,"3","AT1G20450"
"AT1G535401",1.32811214946633e-05,0.384981749324929,0.898,0.863,0.163530448963789,"3","AT1G53540"
"AT5G56010",1.39239236765029e-05,0.305432567816662,0.646,0.475,0.171445272228781,"3","AT5G56010"
"AT1G142001",1.43813951854703e-05,0.304912187181448,0.728,0.543,0.177078118918696,"3","AT1G14200"
"AT5G095901",5.90768835845279e-05,0.300958008339773,0.694,0.554,0.727413667576292,"3","AT5G09590"
"AT4G219901",0.00356470061936852,0.259647960260586,0.612,0.513,1,"3","AT4G21990"
"AT4G29020",1.59400611080003e-66,1.71127821789616,0.892,0.236,1.96269972422807e-62,"4","AT4G29020"
"AT2G42840",1.26389673245279e-55,0.979677297095161,0.792,0.173,1.55623604666912e-51,"4","AT2G42840"
