"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT5G05610",6.98302853397245e-05,0.252431247717831,0.25,0.049,0.859820303388028,"8","AT5G05610"
"AT2G33800",7.24481442901707e-05,0.2500525249351,0.25,0.049,0.892054000644872,"8","AT2G33800"
"AT2G344803",8.39333326430395e-05,0.418384894330623,0.55,0.194,1,"8","AT2G34480"
"AT3G129201",9.28090608507711e-05,0.403288540599763,0.4,0.117,1,"8","AT3G12920"
"AT1G322101",0.00011002516422749,0.329349143449169,0.3,0.072,1,"8","AT1G32210"
"AT1G120001",0.000123664289077718,0.296023761919998,0.35,0.092,1,"8","AT1G12000"
"AT3G607701",0.000124626478278798,0.370622351679441,0.45,0.143,1,"8","AT3G60770"
"AT1G082002",0.000126104529693566,0.59750775404027,0.65,0.293,1,"8","AT1G08200"
"AT5G664402",0.000130225327102952,0.471672066495742,0.35,0.095,1,"8","AT5G66440"
"AT5G13100",0.000135947794203852,0.308164781927231,0.4,0.115,1,"8","AT5G13100"
"AT3G554401",0.000147197335679751,0.432022896343585,0.65,0.269,1,"8","AT3G55440"
"AT5G517501",0.000149708925377211,0.384424581453947,0.35,0.097,1,"8","AT5G51750"
"AT3G548202",0.000160417319556313,0.444001578067691,0.4,0.123,1,"8","AT3G54820"
"AT3G62600",0.000167758881044076,0.323548190555524,0.3,0.074,1,"8","AT3G62600"
"AT3G228403",0.000168324897937927,0.874469117916141,0.6,0.277,1,"8","AT3G22840"
"AT5G20000",0.00017437257836237,0.448026855365048,0.35,0.098,1,"8","AT5G20000"
"AT2G27600",0.000185077483938716,0.299435734438717,0.35,0.096,1,"8","AT2G27600"
"AT1G130601",0.000185747860282892,0.293753588295171,0.35,0.095,1,"8","AT1G13060"
"AT3G085801",0.000186916321728046,0.495076997203961,0.7,0.326,1,"8","AT3G08580"
"AT1G723702",0.000188971787315013,0.480190178804095,0.55,0.215,1,"8","AT1G72370"
"AT2G295501",0.000193004597176399,0.376574686233013,0.35,0.099,1,"8","AT2G29550"
"AT3G07110",0.000206087168415987,0.272578178504665,0.3,0.074,1,"8","AT3G07110"
"AT4G389201",0.000207359640797371,0.285835994697889,0.35,0.095,1,"8","AT4G38920"
"AT1G545801",0.000209302411537102,0.341691349708792,0.35,0.099,1,"8","AT1G54580"
"AT5G04430",0.00023422611965593,0.271417989426547,0.3,0.075,1,"8","AT5G04430"
"AT3G111301",0.000250619177396182,0.334473348206476,0.5,0.175,1,"8","AT3G11130"
"AT5G43330",0.000252268914495836,0.336049203132015,0.35,0.1,1,"8","AT5G43330"
"AT3G470801",0.000260559242562574,0.316617696646908,0.3,0.077,1,"8","AT3G47080"
"AT3G157301",0.000263641979865742,0.473815536799953,0.6,0.255,1,"8","AT3G15730"
